left_index,right_index,left_ns,right_ns,elapsed_ns,signed_delta_ns,absolute_delta_ns,left_interval_ns,right_interval_ns,within_0_5_ms,within_2_ms
2510,2510,1789458657886203000,1789458657886154000,83721470000,49000,49000,33370000,33371000,True,True
2511,2511,1789458657919576000,1789458657919526000,83754843000,50000,50000,33373000,33372000,True,True
2512,2512,1789458657952945000,1789458657952896000,83788212000,49000,49000,33369000,33370000,True,True
2513,2513,1789458657986314000,1789458657986265000,83821581000,49000,49000,33369000,33369000,True,True
2514,2514,1789458658019684000,1789458658019637000,83854951000,47000,47000,33370000,33372000,True,True
2515,2515,1789458658053055000,1789458658053007000,83888322000,48000,48000,33371000,33370000,True,True
2516,2516,1789458658086426000,1789458658086378000,83921693000,48000,48000,33371000,33371000,True,True
2517,2517,1789458658119795000,1789458658119747000,83955062000,48000,48000,33369000,33369000,True,True
2518,2518,1789458658153164000,1789458658153117000,83988431000,47000,47000,33369000,33370000,True,True
2519,2519,1789458658186538000,1789458658186486000,84021805000,52000,52000,33374000,33369000,True,True
2520,2520,1789458658219907000,1789458658219855000,84055174000,52000,52000,33369000,33369000,True,True
2521,2521,1789458658253277000,1789458658253226000,84088544000,51000,51000,33370000,33371000,True,True
2522,2522,1789458658286646000,1789458658286596000,84121913000,50000,50000,33369000,33370000,True,True
2523,2523,1789458658320016000,1789458658319965000,84155283000,51000,51000,33370000,33369000,True,True
2524,2524,1789458658353385000,1789458658353335000,84188652000,50000,50000,33369000,33370000,True,True
2525,2525,1789458658386754000,1789458658386704000,84222021000,50000,50000,33369000,33369000,True,True
2526,2526,1789458658420124000,1789458658420074000,84255391000,50000,50000,33370000,33370000,True,True
2527,2527,1789458658453494000,1789458658453444000,84288761000,50000,50000,33370000,33370000,True,True
2528,2528,1789458658486865000,1789458658486815000,84322132000,50000,50000,33371000,33371000,True,True
2529,2529,1789458658520234000,1789458658520185000,84355501000,49000,49000,33369000,33370000,True,True
2530,2530,1789458658553602000,1789458658553554000,84388869000,48000,48000,33368000,33369000,True,True
2531,2531,1789458658586972000,1789458658586924000,84422239000,48000,48000,33370000,33370000,True,True
2532,2532,1789458658620347000,1789458658620294000,84455614000,53000,53000,33375000,33370000,True,True
2533,2533,1789458658653715000,1789458658653663000,84488982000,52000,52000,33368000,33369000,True,True
2534,2534,1789458658687084000,1789458658687033000,84522351000,51000,51000,33369000,33370000,True,True
2535,2535,1789458658720453000,1789458658720402000,84555720000,51000,51000,33369000,33369000,True,True
2536,2536,1789458658753825000,1789458658753772000,84589092000,53000,53000,33372000,33370000,True,True
2537,2537,1789458658787193000,1789458658787142000,84622460000,51000,51000,33368000,33370000,True,True
2538,2538,1789458658820567000,1789458658820511000,84655834000,56000,56000,33374000,33369000,True,True
2539,2539,1789458658853940000,1789458658853882000,84689207000,58000,58000,33373000,33371000,True,True
2540,2540,1789458658887309000,1789458658887250000,84722576000,59000,59000,33369000,33368000,True,True
2541,2541,1789458658920684000,1789458658920620000,84755951000,64000,64000,33375000,33370000,True,True
2542,2542,1789458658954052000,1789458658953989000,84789319000,63000,63000,33368000,33369000,True,True
2543,2543,1789458658987422000,1789458658987359000,84822689000,63000,63000,33370000,33370000,True,True
2544,2544,1789458659020792000,1789458659020729000,84856059000,63000,63000,33370000,33370000,True,True
2545,2545,1789458659054161000,1789458659054099000,84889428000,62000,62000,33369000,33370000,True,True
2546,2546,1789458659087532000,1789458659087470000,84922799000,62000,62000,33371000,33371000,True,True
2547,2547,1789458659120900000,1789458659120838000,84956167000,62000,62000,33368000,33368000,True,True
2548,2548,1789458659154271000,1789458659154209000,84989538000,62000,62000,33371000,33371000,True,True
2549,2549,1789458659187640000,1789458659187580000,85022907000,60000,60000,33369000,33371000,True,True
2550,2550,1789458659221012000,1789458659220951000,85056279000,61000,61000,33372000,33371000,True,True
2551,2551,1789458659254384000,1789458659254320000,85089651000,64000,64000,33372000,33369000,True,True
2552,2552,1789458659287755000,1789458659287691000,85123022000,64000,64000,33371000,33371000,True,True
2553,2553,1789458659321125000,1789458659321061000,85156392000,64000,64000,33370000,33370000,True,True
2554,2554,1789458659354492000,1789458659354430000,85189759000,62000,62000,33367000,33369000,True,True
2555,2555,1789458659387863000,1789458659387801000,85223130000,62000,62000,33371000,33371000,True,True
2556,2556,1789458659421234000,1789458659421171000,85256501000,63000,63000,33371000,33370000,True,True
2557,2557,1789458659454603000,1789458659454542000,85289870000,61000,61000,33369000,33371000,True,True
2558,2558,1789458659487971000,1789458659487912000,85323238000,59000,59000,33368000,33370000,True,True
2559,2559,1789458659521343000,1789458659521282000,85356610000,61000,61000,33372000,33370000,True,True
2560,2560,1789458659554712000,1789458659554652000,85389979000,60000,60000,33369000,33370000,True,True
2561,2561,1789458659588086000,1789458659588022000,85423353000,64000,64000,33374000,33370000,True,True
2562,2562,1789458659621457000,1789458659621393000,85456724000,64000,64000,33371000,33371000,True,True
2563,2563,1789458659654827000,1789458659654762000,85490094000,65000,65000,33370000,33369000,True,True
2564,2564,1789458659688196000,1789458659688134000,85523463000,62000,62000,33369000,33372000,True,True
2565,2565,1789458659721566000,1789458659721503000,85556833000,63000,63000,33370000,33369000,True,True
2566,2566,1789458659754936000,1789458659754874000,85590203000,62000,62000,33370000,33371000,True,True
2567,2567,1789458659788307000,1789458659788245000,85623574000,62000,62000,33371000,33371000,True,True
2568,2568,1789458659821677000,1789458659821615000,85656944000,62000,62000,33370000,33370000,True,True
2569,2569,1789458659855045000,1789458659854984000,85690312000,61000,61000,33368000,33369000,True,True
2570,2570,1789458659888414000,1789458659888353000,85723681000,61000,61000,33369000,33369000,True,True
2571,2571,1789458659921783000,1789458659921724000,85757050000,59000,59000,33369000,33371000,True,True
2572,2572,1789458659955151000,1789458659955093000,85790418000,58000,58000,33368000,33369000,True,True
2573,2573,1789458659988522000,1789458659988463000,85823789000,59000,59000,33371000,33370000,True,True
2574,2574,1789458660021891000,1789458660021832000,85857158000,59000,59000,33369000,33369000,True,True
2575,2575,1789458660055260000,1789458660055202000,85890527000,58000,58000,33369000,33370000,True,True
2576,2576,1789458660088631000,1789458660088573000,85923898000,58000,58000,33371000,33371000,True,True
2577,2577,1789458660122000000,1789458660121944000,85957267000,56000,56000,33369000,33371000,True,True
2578,2578,1789458660155370000,1789458660155313000,85990637000,57000,57000,33370000,33369000,True,True
2579,2579,1789458660188740000,1789458660188683000,86024007000,57000,57000,33370000,33370000,True,True
2580,2580,1789458660222110000,1789458660222053000,86057377000,57000,57000,33370000,33370000,True,True
2581,2581,1789458660255481000,1789458660255424000,86090748000,57000,57000,33371000,33371000,True,True
